data,tipo,operacao
[20/Mar/2019:07:10:41],ERROR 404, DELETE onu_delete: {"error": {"message": "Onu nao provisionada."  "type": "zhone.oss.exceptions.AppException"}}: fsan 0388AECE   
[20/Mar/2019:07:11:41],CREATE, smart fsan 038AD969 ssp 1-14-7-48: delete slot_olt_port_delete        
[20/Mar/2019:07:11:56],CREATE, smart fsan 038AD969: create           
[20/Mar/2019:07:12:58],ERROR 404, onu_bridge_path_list: {"error": {"message": "Bridge inexistente."  "type": "zhone.oss.exceptions.AppException"}}: fsan 0379A185 vlan video   
[20/Mar/2019:07:14:29],CREATE, smart onu_home_create OK fsan 038AD969 ip 10.17.16.3        
[20/Mar/2019:07:27:56],ERROR 404, sysname ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:57],ERROR 404, session_uptime ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:57],ERROR 404, uptime ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:57],ERROR 404, channel_sm ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:57],ERROR 404, color ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:58],ERROR 404, mac_ap ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:58],ERROR 404, interface_lan_status_sm ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:58],ERROR 404, power_level_sm ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:58],ERROR 404, status_sm ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:58],ERROR 404, mac_sm ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:27:58],ERROR 404, jitter_sm ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:28:03],ERROR 404, power_level_sm ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:28:03],ERROR 404, jitter_sm ip 172.18.12.18: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:28:39],ERROR 404, uptime ip 172.31.243.2: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:28:39],ERROR 404, sysname ip 172.31.243.2: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:28:39],ERROR 404, session_uptime ip 172.31.243.2: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:28:39],ERROR 404, channel_sm ip 172.31.243.2: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:28:39],ERROR 404, status_sm ip 172.31.243.2: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
[20/Mar/2019:07:28:39],ERROR 404, interface_lan_status_sm ip 172.31.243.2: {"error": {"message": "No SNMP response received before timeout"  "type": "wifioss.wifioss.WifiException"}} 
