data,colum_a,colum_b
[20/Mar/2019:06:25:05],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:25:08],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:25:18],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:25:22],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:25:32],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:25:39],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:25:49],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:25:55],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:26:05],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:26:10],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:26:20],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:26:26],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:26:36],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:26:43],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:26:53],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:26:59],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:27:09],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:27:13],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:27:23],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:27:27],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
[20/Mar/2019:06:27:37],  INFO cache_get check_device_ip: gpon:,check_device_ip|host:10.17.2.4
[20/Mar/2019:06:27:42],  STATUS omci_onu_status fsan 038FD5A4: ,{'adminstate': 'active'  'operstate': 'up'  'omcistate': 'omciFailed'}
